name,Inducted,link
Roy Acuff,1962,https://countrymusichalloffame.org/artist/roy-acuff/
Alabama,2005,https://countrymusichalloffame.org/artist/alabama/
Bill Anderson,2001,https://countrymusichalloffame.org/artist/bill-anderson/
Eddy Arnold,1966,https://countrymusichalloffame.org/artist/eddy-arnold/
Chet Atkins,1973,https://countrymusichalloffame.org/artist/chet-atkins/
Gene Autry,1969,https://countrymusichalloffame.org/artist/gene-autry/
DeFord Bailey,2005,https://countrymusichalloffame.org/artist/deford-bailey/
Bobby Bare,2013,https://countrymusichalloffame.org/artist/bobby-bare/
Johnny Bond,1999,https://countrymusichalloffame.org/artist/johnny-bond/
Bobby Braddock,2011,https://countrymusichalloffame.org/artist/bobby-braddock/
Harold Bradley,2006,https://countrymusichalloffame.org/artist/harold-bradley/
Jerry Bradley,2019,https://countrymusichalloffame.org/artist/jerry-bradley/
Owen Bradley,1974,https://countrymusichalloffame.org/artist/owen-bradley/
Rod Brasfield,1987,https://countrymusichalloffame.org/artist/rod-brasfield/
Garth Brooks,2012,https://countrymusichalloffame.org/artist/garth-brooks/
Brooks & Dunn,2019,https://countrymusichalloffame.org/artist/brooks-dunn/
Jim Ed Brown,2015,https://countrymusichalloffame.org/artist/jim-ed-brown/
Jim Ed Brown and the Browns,2015,https://countrymusichalloffame.org/artist/jim-ed-brown-and-the-browns/
Boudleaux and Felice Bryant,1991,https://countrymusichalloffame.org/artist/boudleaux-and-felice-bryant/
Glen Campbell,2005,https://countrymusichalloffame.org/artist/glen-campbell/
Bill Carlisle,2002,https://countrymusichalloffame.org/artist/bill-carlisle/
Carter Family,1970,https://countrymusichalloffame.org/artist/carter-family/
Johnny Cash,1980,https://countrymusichalloffame.org/artist/johnny-cash/
Roy Clark,2009,https://countrymusichalloffame.org/artist/roy-clark/
Cowboy Jack Clement,2013,https://countrymusichalloffame.org/artist/cowboy-jack-clement/
Patsy Cline,1973,https://countrymusichalloffame.org/artist/patsy-cline/
Hank Cochran,2014,https://countrymusichalloffame.org/artist/hank-cochran/
Paul Cohen,1976,https://countrymusichalloffame.org/artist/paul-cohen/
Floyd Cramer,2003,https://countrymusichalloffame.org/artist/floyd-cramer/
Vernon Dalhart,1981,https://countrymusichalloffame.org/artist/vernon-dalhart/
Charlie Daniels,2016,https://countrymusichalloffame.org/artist/charlie-daniels/
Jimmie Davis,1972,https://countrymusichalloffame.org/artist/jimmie-davis/
Jimmy Dean,2010,https://countrymusichalloffame.org/artist/jimmy-dean/
Delmore Brothers,2001,https://countrymusichalloffame.org/artist/delmore-brothers/
Jim Denny,1966,https://countrymusichalloffame.org/artist/jim-denny/
Little Jimmy Dickens,1983,https://countrymusichalloffame.org/artist/little-jimmy-dickens/
Ralph Emery,2007,https://countrymusichalloffame.org/artist/ralph-emery/
The Everly Brothers,2001,https://countrymusichalloffame.org/artist/the-everly-brothers/
Flatt And Scruggs,1985,https://countrymusichalloffame.org/artist/flatt-and-scruggs/
Jim Foglesong,2004,https://countrymusichalloffame.org/artist/jim-foglesong/
Red Foley,1967,https://countrymusichalloffame.org/artist/red-foley/
Tennessee Ernie Ford,1990,https://countrymusichalloffame.org/artist/tennessee-ernie-ford/
Fred Foster,2016,https://countrymusichalloffame.org/artist/fred-foster/
Joseph Frank,1967,https://countrymusichalloffame.org/artist/joseph-frank/
Lefty Frizzell,1982,https://countrymusichalloffame.org/artist/lefty-frizzell/
Connie B. Gay,1980,https://countrymusichalloffame.org/artist/connie-b-gay/
Don Gibson,2001,https://countrymusichalloffame.org/artist/don-gibson/
Vince Gill,2007,https://countrymusichalloffame.org/artist/vince-gill/
Johnny Gimble,2018,https://countrymusichalloffame.org/artist/johnny-gimble/
Merle Haggard,1994,https://countrymusichalloffame.org/artist/merle-haggard/
Tom T. Hall,2008,https://countrymusichalloffame.org/artist/tom-t-hall/
Emmylou Harris,2008,https://countrymusichalloffame.org/artist/emmylou-harris/
George D. Hay,1966,https://countrymusichalloffame.org/artist/george-d-hay/
Homer and Jethro,2001,https://countrymusichalloffame.org/artist/homer-and-jethro/
Roy Horton,1982,https://countrymusichalloffame.org/artist/roy-horton/
Harlan Howard,1997,https://countrymusichalloffame.org/artist/harlan-howard/
Ferlin Husky,2010,https://countrymusichalloffame.org/artist/ferlin-husky/
Alan Jackson,2017,https://countrymusichalloffame.org/artist/alan-jackson/
Sonny James,2006,https://countrymusichalloffame.org/artist/sonny-james/
Waylon Jennings,2001,https://countrymusichalloffame.org/artist/waylon-jennings/
George Jones,1992,https://countrymusichalloffame.org/artist/george-jones/
Grandpa Jones,1978,https://countrymusichalloffame.org/artist/grandpa-jones/
Jordanaires,2001,https://countrymusichalloffame.org/artist/jordanaires/
Pee Wee King,1974,https://countrymusichalloffame.org/artist/pee-wee-king/
Kris Kristofferson,2004,https://countrymusichalloffame.org/artist/kris-kristofferson/
Don Law,2001,https://countrymusichalloffame.org/artist/don-law/
Brenda Lee,1997,https://countrymusichalloffame.org/artist/brenda-lee/
Hubert Long,1979,https://countrymusichalloffame.org/artist/hubert-long/
The Louvin Brothers,2001,https://countrymusichalloffame.org/artist/the-louvin-brothers/
Loretta Lynn,1988,https://countrymusichalloffame.org/artist/loretta-lynn/
Uncle David Macon,1966,https://countrymusichalloffame.org/artist/uncle-david-macon/
Barbara Mandrell,2009,https://countrymusichalloffame.org/artist/barbara-mandrell/
Grady Martin,2015,https://countrymusichalloffame.org/artist/grady-martin/
Charlie McCoy,2009,https://countrymusichalloffame.org/artist/charlie-mccoy/
Reba McEntire,2011,https://countrymusichalloffame.org/artist/reba-mcentire/
Roger Miller,1995,https://countrymusichalloffame.org/artist/roger-miller/
Ronnie Milsap,2014,https://countrymusichalloffame.org/artist/ronnie-milsap/
Bill Monroe,1970,https://countrymusichalloffame.org/artist/bill-monroe/
Patsy Montana,1996,https://countrymusichalloffame.org/artist/patsy-montana/
George Morgan,1998,https://countrymusichalloffame.org/artist/george-morgan/
Ken Nelson,2001,https://countrymusichalloffame.org/artist/ken-nelson/
Willie Nelson,1993,https://countrymusichalloffame.org/artist/willie-nelson/
Oak Ridge Boys,2015,https://countrymusichalloffame.org/artist/oak-ridge-boys/
Buck Owens,1996,https://countrymusichalloffame.org/artist/buck-owens/
Dolly Parton,1999,https://countrymusichalloffame.org/artist/dolly-parton/
Minnie Pearl,1975,https://countrymusichalloffame.org/artist/minnie-pearl/
Ralph Peer,1984,https://countrymusichalloffame.org/artist/ralph-peer/
Sam Phillips,2001,https://countrymusichalloffame.org/artist/sam-phillips/
Webb Pierce,2001,https://countrymusichalloffame.org/artist/webb-pierce/
Elvis Presley,1998,https://countrymusichalloffame.org/artist/elvis-presley/
Frances Preston,1992,https://countrymusichalloffame.org/artist/frances-preston/
Ray Price,1996,https://countrymusichalloffame.org/artist/ray-price/
Charley Pride,2000,https://countrymusichalloffame.org/artist/charley-pride/
​Jerry Reed,2017,https://countrymusichalloffame.org/artist/%e2%80%8bjerry-reed/
Jim Reeves,1967,https://countrymusichalloffame.org/artist/jim-reeves/
Tex Ritter,1964,https://countrymusichalloffame.org/artist/tex-ritter/
Hargus “Pig” Robbins,2012,https://countrymusichalloffame.org/artist/hargus-pig-robbins/
Marty Robbins,1982,https://countrymusichalloffame.org/artist/marty-robbins/
Jimmie Rodgers,1961,https://countrymusichalloffame.org/artist/jimmie-rodgers/
Kenny Rogers,2013,https://countrymusichalloffame.org/artist/kenny-rogers/
Roy Rogers,1988,https://countrymusichalloffame.org/artist/roy-rogers/
Fred Rose,1961,https://countrymusichalloffame.org/artist/fred-rose/
Wesley Rose,1986,https://countrymusichalloffame.org/artist/wesley-rose/
Arthur E. Satherley,1971,https://countrymusichalloffame.org/artist/arthur-e-satherley/
Don Schlitz,2017,https://countrymusichalloffame.org/artist/don-schlitz/
Jean Shepard,2011,https://countrymusichalloffame.org/artist/jean-shepard/
Billy Sherrill,2010,https://countrymusichalloffame.org/artist/billy-sherrill/
Stephen Sholes,1967,https://countrymusichalloffame.org/artist/stephen-sholes/
Ricky Skaggs,2018,https://countrymusichalloffame.org/artist/ricky-skaggs/
Carl Smith,2003,https://countrymusichalloffame.org/artist/carl-smith/
Connie Smith,2012,https://countrymusichalloffame.org/artist/connie-smith/
Hank Snow,1979,https://countrymusichalloffame.org/artist/hank-snow/
Sons of the Pioneers,1980,https://countrymusichalloffame.org/artist/sons-of-the-pioneers/
Jack Stapp,1989,https://countrymusichalloffame.org/artist/jack-stapp/
Ray Stevens,2019,https://countrymusichalloffame.org/artist/ray-stevens/
Cliffie Stone,1989,https://countrymusichalloffame.org/artist/cliffie-stone/
Ernest V. “Pop” Stoneman,2008,https://countrymusichalloffame.org/artist/ernest-v-pop-stoneman/
George Strait,2006,https://countrymusichalloffame.org/artist/george-strait/
The Duke of Paducah,1986,https://countrymusichalloffame.org/artist/the-duke-of-paducah/
The Statler Brothers,2008,https://countrymusichalloffame.org/artist/the-statler-brothers/
Hank Thompson,1989,https://countrymusichalloffame.org/artist/hank-thompson/
Mel Tillis,2007,https://countrymusichalloffame.org/artist/mel-tillis/
Floyd Tillman,1984,https://countrymusichalloffame.org/artist/floyd-tillman/
Merle Travis,1977,https://countrymusichalloffame.org/artist/merle-travis/
Randy Travis,2016,https://countrymusichalloffame.org/artist/randy-travis/
Ernest Tubb,1965,https://countrymusichalloffame.org/artist/ernest-tubb/
Grant Turner,1981,https://countrymusichalloffame.org/artist/grant-turner/
Conway Twitty,1999,https://countrymusichalloffame.org/artist/conway-twitty/
Porter Wagoner,2002,https://countrymusichalloffame.org/artist/porter-wagoner/
Cindy Walker,1997,https://countrymusichalloffame.org/artist/cindy-walker/
Jo Walker-Meador,1995,https://countrymusichalloffame.org/artist/jo-walker-meador/
Kitty Wells,1976,https://countrymusichalloffame.org/artist/kitty-wells/
E. W. “Bud” Wendell,1998,https://countrymusichalloffame.org/artist/e-w-bud-wendell/
Dottie West,2018,https://countrymusichalloffame.org/artist/dottie-west/
Don Williams,2010,https://countrymusichalloffame.org/artist/don-williams/
Hank Williams,1961,https://countrymusichalloffame.org/artist/hank-williams/
Bob Wills,1968,https://countrymusichalloffame.org/artist/bob-wills/
Mac Wiseman,2014,https://countrymusichalloffame.org/artist/mac-wiseman/
Tammy Wynette,1998,https://countrymusichalloffame.org/artist/tammy-wynette/
Faron Young,2000,https://countrymusichalloffame.org/artist/faron-young/
